==============================================================================
  GO BP enrichment — LROT LR genes (v2: real background, deduped)
==============================================================================

Annotation source : GO go-basic.obo + mgi.gaf.gz (MGI, mouse)
Aspect            : biological_process only; NOT qualifiers excluded
Foreground        : 109 LR genes (109/109 annotated)
Background        : 27424 mouse genes with >=1 BP annotation
True-path rule    : annotations propagated to ancestors (is_a/part_of)
Test              : Fisher exact (one-sided greater); BH over all 4280 tested terms
Reported          : padj < 0.05 AND >=3 foreground genes

GO ID        Term                                                     fg      bg     fold        p      p_adj
GO:2000404   regulation of T cell migration                            5      54     23.3  3.7e-06    1.5e-05
GO:0090026   positive regulation of monocyte chemotaxis                4      23     43.8  3.8e-06    1.5e-05
GO:0090030   regulation of steroid hormone biosynthetic process        4      23     43.8  3.8e-06    1.5e-05
GO:0090050   positive regulation of cell migration involved in spro    4      23     43.8  3.8e-06    1.5e-05
GO:0002697   regulation of immune effector process                    11     480      5.8  4.1e-06    1.6e-05
GO:1990089   response to nerve growth factor                           5      56     22.5  4.4e-06    1.7e-05
GO:0048339   paraxial mesoderm development                             4      24     41.9  4.4e-06    1.7e-05
GO:0090189   regulation of branching involved in ureteric bud morph    4      24     41.9  4.4e-06    1.7e-05
GO:1905477   positive regulation of protein localization to membran    6     102     14.8  4.6e-06    1.8e-05
GO:0042491   inner ear auditory receptor cell differentiation          5      57     22.1  4.8e-06    1.9e-05
GO:0001554   luteolysis                                                3       6    125.8  5.0e-06    1.9e-05
GO:0021785   branchiomotor neuron axon guidance                        3       6    125.8  5.0e-06    1.9e-05
GO:0042661   regulation of mesodermal cell fate specification          3       6    125.8  5.0e-06    1.9e-05
GO:0061343   cell adhesion involved in heart morphogenesis             3       6    125.8  5.0e-06    1.9e-05
GO:0061550   cranial ganglion development                              3       6    125.8  5.0e-06    1.9e-05
GO:0097475   motor neuron migration                                    3       6    125.8  5.0e-06    1.9e-05
GO:2001224   positive regulation of neuron migration                   4      25     40.3  5.1e-06    2.0e-05
GO:0071260   cellular response to mechanical stimulus                  6     104     14.5  5.1e-06    2.0e-05
GO:2000351   regulation of endothelial cell apoptotic process          5      58     21.7  5.2e-06    2.0e-05
GO:0051222   positive regulation of protein transport                  9     310      7.3  5.2e-06    2.0e-05
GO:0090101   negative regulation of transmembrane receptor protein     7     163     10.8  5.3e-06    2.1e-05
GO:0034097   response to cytokine                                     17    1191      3.6  5.3e-06    2.1e-05
GO:0071496   cellular response to external stimulus                    6     105     14.4  5.4e-06    2.1e-05
GO:1902107   positive regulation of leukocyte differentiation          8     233      8.6  5.4e-06    2.1e-05
GO:1903708   positive regulation of hemopoiesis                        8     233      8.6  5.4e-06    2.1e-05
GO:0048878   chemical homeostasis                                     16    1066      3.8  5.6e-06    2.2e-05
GO:0010171   body morphogenesis                                        5      59     21.3  5.6e-06    2.2e-05
GO:0030593   neutrophil chemotaxis                                     5      59     21.3  5.6e-06    2.2e-05
GO:0032651   regulation of interleukin-1 beta production               6     106     14.2  5.7e-06    2.2e-05
GO:0045844   positive regulation of striated muscle tissue developm    4      26     38.7  5.9e-06    2.3e-05
GO:0048636   positive regulation of muscle organ development           4      26     38.7  5.9e-06    2.3e-05
GO:1901863   positive regulation of muscle tissue development          4      26     38.7  5.9e-06    2.3e-05
GO:0002683   negative regulation of immune system process             12     602      5.0  6.0e-06    2.3e-05
GO:0072091   regulation of stem cell proliferation                     5      60     21.0  6.1e-06    2.3e-05
GO:0030198   extracellular matrix organization                         9     319      7.1  6.5e-06    2.5e-05
GO:0051336   regulation of hydrolase activity                          8     239      8.4  6.5e-06    2.5e-05
GO:0045229   external encapsulating structure organization             9     320      7.1  6.7e-06    2.5e-05
GO:1901652   response to peptide                                      17    1212      3.5  6.7e-06    2.5e-05
GO:0042659   regulation of cell fate specification                     4      27     37.3  6.7e-06    2.6e-05
GO:0099068   postsynapse assembly                                      4      27     37.3  6.7e-06    2.6e-05
GO:0043062   extracellular structure organization                      9     321      7.1  6.8e-06    2.6e-05
GO:0044419   biological process involved in interspecies interactio   21    1780      3.0  6.9e-06    2.6e-05
GO:0002699   positive regulation of immune effector process            9     322      7.0  7.0e-06    2.7e-05
GO:0021828   gonadotrophin-releasing hormone neuronal migration to     3       7    107.8  7.1e-06    2.7e-05
GO:0021856   hypothalamic tangential migration using cell-axon inte    3       7    107.8  7.1e-06    2.7e-05
GO:0035385   Roundabout signaling pathway                              3       7    107.8  7.1e-06    2.7e-05
GO:0035791   platelet-derived growth factor receptor-beta signaling    3       7    107.8  7.1e-06    2.7e-05
GO:0060437   lung growth                                               3       7    107.8  7.1e-06    2.7e-05
GO:0060449   bud elongation involved in lung branching                 3       7    107.8  7.1e-06    2.7e-05
GO:0061046   regulation of branching involved in lung morphogenesis    3       7    107.8  7.1e-06    2.7e-05
GO:0072239   metanephric glomerulus vasculature development            3       7    107.8  7.1e-06    2.7e-05
GO:1902460   regulation of mesenchymal stem cell proliferation         3       7    107.8  7.1e-06    2.7e-05
GO:1902462   positive regulation of mesenchymal stem cell prolifera    3       7    107.8  7.1e-06    2.7e-05
GO:1904997   regulation of leukocyte adhesion to arterial endotheli    3       7    107.8  7.1e-06    2.7e-05
GO:1905770   regulation of mesodermal cell differentiation             3       7    107.8  7.1e-06    2.7e-05
GO:0043200   response to amino acid                                    8     242      8.3  7.1e-06    2.7e-05
GO:0019216   regulation of lipid metabolic process                    10     413      6.1  7.3e-06    2.7e-05
GO:0060324   face development                                          5      63     20.0  7.6e-06    2.8e-05
GO:0033688   regulation of osteoblast proliferation                    4      28     35.9  7.7e-06    2.9e-05
GO:0097150   neuronal stem cell population maintenance                 4      28     35.9  7.7e-06    2.9e-05
GO:1903672   positive regulation of sprouting angiogenesis             4      28     35.9  7.7e-06    2.9e-05
GO:0060606   tube closure                                              6     113     13.4  8.1e-06    3.0e-05
GO:1900182   positive regulation of protein localization to nucleus    6     113     13.4  8.1e-06    3.0e-05
GO:0030514   negative regulation of BMP signaling pathway              5      64     19.7  8.1e-06    3.0e-05
GO:0001945   lymph vessel development                                  4      29     34.7  8.7e-06    3.2e-05
GO:0003309   type B pancreatic cell differentiation                    4      29     34.7  8.7e-06    3.2e-05
GO:0045606   positive regulation of epidermal cell differentiation     4      29     34.7  8.7e-06    3.2e-05
GO:0072678   T cell migration                                          4      29     34.7  8.7e-06    3.2e-05
GO:1902894   negative regulation of miRNA transcription                4      29     34.7  8.7e-06    3.2e-05
GO:0030098   lymphocyte differentiation                                9     332      6.8  8.9e-06    3.3e-05
GO:0030178   negative regulation of Wnt signaling pathway              7     178      9.9  9.2e-06    3.4e-05
GO:0032970   regulation of actin filament-based process               10     425      5.9  9.3e-06    3.4e-05
GO:0045216   cell-cell junction organization                           7     179      9.8  9.6e-06    3.5e-05
GO:0003186   tricuspid valve morphogenesis                             3       8     94.3  9.7e-06    3.6e-05
GO:0030916   otic vesicle formation                                    3       8     94.3  9.7e-06    3.6e-05
GO:0072109   glomerular mesangium development                          3       8     94.3  9.7e-06    3.6e-05
GO:0046885   regulation of hormone biosynthetic process                4      30     33.5  9.8e-06    3.6e-05
GO:1904996   positive regulation of leukocyte adhesion to vascular     4      30     33.5  9.8e-06    3.6e-05
GO:0002573   myeloid leukocyte differentiation                         7     180      9.8  9.9e-06    3.6e-05
GO:0051248   negative regulation of protein metabolic process         13     747      4.4  1.0e-05    3.7e-05
GO:0048260   positive regulation of receptor-mediated endocytosis      5      67     18.8  1.0e-05    3.7e-05
GO:0016525   negative regulation of angiogenesis                       6     118     12.8  1.0e-05    3.8e-05
GO:0031644   regulation of nervous system process                      7     181      9.7  1.0e-05    3.8e-05
GO:0014020   primary neural tube formation                             6     119     12.7  1.1e-05    3.9e-05
GO:0035315   hair cell differentiation                                 5      68     18.5  1.1e-05    3.9e-05
GO:0061001   regulation of dendritic spine morphogenesis               5      68     18.5  1.1e-05    3.9e-05
GO:0032924   activin receptor signaling pathway                        4      31     32.5  1.1e-05    4.0e-05
GO:0035025   positive regulation of Rho protein signal transduction    4      31     32.5  1.1e-05    4.0e-05
GO:0060065   uterus development                                        4      31     32.5  1.1e-05    4.0e-05
GO:2000181   negative regulation of blood vessel morphogenesis         6     120     12.6  1.1e-05    4.1e-05
GO:1901343   negative regulation of vasculature development            6     121     12.5  1.2e-05    4.3e-05
GO:0006955   immune response                                          20    1696      3.0  1.2e-05    4.4e-05
GO:0043270   positive regulation of monoatomic ion transport           8     261      7.7  1.2e-05    4.4e-05
GO:1904375   regulation of protein localization to cell periphery      7     186      9.5  1.2e-05    4.4e-05
GO:0031347   regulation of defense response                           15    1006      3.8  1.2e-05    4.4e-05
GO:0010812   negative regulation of cell-substrate adhesion            5      70     18.0  1.2e-05    4.4e-05
GO:0051893   regulation of focal adhesion assembly                     5      70     18.0  1.2e-05    4.4e-05
GO:0090109   regulation of cell-substrate junction assembly            5      70     18.0  1.2e-05    4.4e-05
GO:1903055   positive regulation of extracellular matrix organizati    4      32     31.4  1.2e-05    4.5e-05
GO:2000629   negative regulation of miRNA metabolic process            4      32     31.4  1.2e-05    4.5e-05
GO:0051051   negative regulation of transport                         11     541      5.1  1.2e-05    4.5e-05
GO:0045833   negative regulation of lipid metabolic process            6     123     12.3  1.3e-05    4.6e-05
GO:0043412   macromolecule modification                               21    1855      2.8  1.3e-05    4.6e-05
GO:0003175   tricuspid valve development                               3       9     83.9  1.3e-05    4.6e-05
GO:0010641   positive regulation of platelet-derived growth factor     3       9     83.9  1.3e-05    4.6e-05
GO:0021855   hypothalamus cell migration                               3       9     83.9  1.3e-05    4.6e-05
GO:0021886   hypothalamus gonadotrophin-releasing hormone neuron di    3       9     83.9  1.3e-05    4.6e-05
GO:0021888   hypothalamus gonadotrophin-releasing hormone neuron de    3       9     83.9  1.3e-05    4.6e-05
GO:0048012   hepatocyte growth factor receptor signaling pathway       3       9     83.9  1.3e-05    4.6e-05
GO:0060363   cranial suture morphogenesis                              3       9     83.9  1.3e-05    4.6e-05
GO:0060601   lateral sprouting from an epithelium                      3       9     83.9  1.3e-05    4.6e-05
GO:0060754   positive regulation of mast cell chemotaxis               3       9     83.9  1.3e-05    4.6e-05
GO:1900125   regulation of hyaluronan biosynthetic process             3       9     83.9  1.3e-05    4.6e-05
GO:0001756   somitogenesis                                             5      71     17.7  1.3e-05    4.7e-05
GO:0035556   intracellular signal transduction                        21    1860      2.8  1.3e-05    4.8e-05
GO:0060669   embryonic placenta morphogenesis                          4      33     30.5  1.4e-05    4.9e-05
GO:0072210   metanephric nephron development                           4      33     30.5  1.4e-05    4.9e-05
GO:0043409   negative regulation of MAPK cascade                       7     192      9.2  1.5e-05    5.3e-05
GO:1903078   positive regulation of protein localization to plasma     5      73     17.2  1.5e-05    5.3e-05
GO:0002675   positive regulation of acute inflammatory response        4      34     29.6  1.5e-05    5.5e-05
GO:0043507   positive regulation of JUN kinase activity                4      34     29.6  1.5e-05    5.5e-05
GO:0045684   positive regulation of epidermis development              4      34     29.6  1.5e-05    5.5e-05
GO:0060384   innervation                                               4      34     29.6  1.5e-05    5.5e-05
GO:1990266   neutrophil migration                                      5      74     17.0  1.6e-05    5.6e-05
GO:0032649   regulation of type II interferon production               6     128     11.8  1.6e-05    5.6e-05
GO:0055074   calcium ion homeostasis                                   8     273      7.4  1.7e-05    5.9e-05
GO:0032652   regulation of interleukin-1 production                    6     129     11.7  1.7e-05    5.9e-05
GO:0003330   regulation of extracellular matrix constituent secreti    3      10     75.5  1.7e-05    5.9e-05
GO:0060837   blood vessel endothelial cell differentiation             3      10     75.5  1.7e-05    5.9e-05
GO:0060982   coronary artery morphogenesis                             3      10     75.5  1.7e-05    5.9e-05
GO:0071600   otic vesicle morphogenesis                                3      10     75.5  1.7e-05    5.9e-05
GO:0060350   endochondral bone morphogenesis                           5      75     16.8  1.7e-05    5.9e-05
GO:2000107   negative regulation of leukocyte apoptotic process        5      75     16.8  1.7e-05    5.9e-05
GO:0035883   enteroendocrine cell differentiation                      4      35     28.8  1.7e-05    6.0e-05
GO:1901099   negative regulation of signal transduction in absence     4      35     28.8  1.7e-05    6.0e-05
GO:1905606   regulation of presynapse assembly                         4      35     28.8  1.7e-05    6.0e-05
GO:2000648   positive regulation of stem cell proliferation            4      35     28.8  1.7e-05    6.0e-05
GO:2001240   negative regulation of extrinsic apoptotic signaling p    4      35     28.8  1.7e-05    6.0e-05
GO:0030193   regulation of blood coagulation                           5      76     16.6  1.8e-05    6.2e-05
GO:0045668   negative regulation of osteoblast differentiation         5      76     16.6  1.8e-05    6.2e-05
GO:0150116   regulation of cell-substrate junction organization        5      77     16.3  1.9e-05    6.6e-05
GO:0001941   postsynaptic membrane organization                        4      36     28.0  1.9e-05    6.6e-05
GO:0002092   positive regulation of receptor internalization           4      36     28.0  1.9e-05    6.6e-05
GO:0017145   stem cell division                                        4      36     28.0  1.9e-05    6.6e-05
GO:0036120   cellular response to platelet-derived growth factor st    4      36     28.0  1.9e-05    6.6e-05
GO:0090183   regulation of kidney development                          4      36     28.0  1.9e-05    6.6e-05
GO:0045786   negative regulation of cell cycle                         9     367      6.2  1.9e-05    6.7e-05
GO:1900046   regulation of hemostasis                                  5      78     16.1  2.0e-05    7.0e-05
GO:1901532   regulation of hematopoietic progenitor cell differenti    4      37     27.2  2.1e-05    7.3e-05
GO:0021559   trigeminal nerve development                              3      11     68.6  2.1e-05    7.3e-05
GO:0031017   exocrine pancreas development                             3      11     68.6  2.1e-05    7.3e-05
GO:0035767   endothelial cell chemotaxis                               3      11     68.6  2.1e-05    7.3e-05
GO:0048170   positive regulation of long-term neuronal synaptic pla    3      11     68.6  2.1e-05    7.3e-05
GO:0051450   myoblast proliferation                                    3      11     68.6  2.1e-05    7.3e-05
GO:0060385   axonogenesis involved in innervation                      3      11     68.6  2.1e-05    7.3e-05
GO:0060484   lung-associated mesenchyme development                    3      11     68.6  2.1e-05    7.3e-05
GO:0060753   regulation of mast cell chemotaxis                        3      11     68.6  2.1e-05    7.3e-05
GO:0061043   regulation of vascular wound healing                      3      11     68.6  2.1e-05    7.3e-05
GO:0061101   neuroendocrine cell differentiation                       3      11     68.6  2.1e-05    7.3e-05
GO:0072224   metanephric glomerulus development                        3      11     68.6  2.1e-05    7.3e-05
GO:1900451   positive regulation of glutamate receptor signaling pa    3      11     68.6  2.1e-05    7.3e-05
GO:1902965   regulation of protein localization to early endosome      3      11     68.6  2.1e-05    7.3e-05
GO:1902966   positive regulation of protein localization to early e    3      11     68.6  2.1e-05    7.3e-05
GO:1904238   pericyte cell differentiation                             3      11     68.6  2.1e-05    7.3e-05
GO:2000491   positive regulation of hepatic stellate cell activatio    3      11     68.6  2.1e-05    7.3e-05
GO:0055001   muscle cell development                                   7     205      8.6  2.2e-05    7.6e-05
GO:0071229   cellular response to acid chemical                        7     205      8.6  2.2e-05    7.6e-05
GO:0002520   immune system development                                 7     206      8.5  2.3e-05    7.8e-05
GO:0010574   regulation of vascular endothelial growth factor produ    4      38     26.5  2.3e-05    7.9e-05
GO:0061036   positive regulation of cartilage development              4      38     26.5  2.3e-05    7.9e-05
GO:0009743   response to carbohydrate                                  7     207      8.5  2.4e-05    8.1e-05
GO:0035296   regulation of tube diameter                               7     207      8.5  2.4e-05    8.1e-05
GO:0097746   blood vessel diameter maintenance                         7     207      8.5  2.4e-05    8.1e-05
GO:0006952   defense response                                         18    1482      3.1  2.4e-05    8.1e-05
GO:0042311   vasodilation                                              5      81     15.5  2.4e-05    8.1e-05
GO:0050818   regulation of coagulation                                 5      81     15.5  2.4e-05    8.1e-05
GO:0070228   regulation of lymphocyte apoptotic process                5      81     15.5  2.4e-05    8.1e-05
GO:0051707   response to other organism                               19    1630      2.9  2.4e-05    8.1e-05
GO:0035150   regulation of tube size                                   7     208      8.5  2.4e-05    8.3e-05
GO:0043207   response to external biotic stimulus                     19    1634      2.9  2.5e-05    8.4e-05
GO:0046637   regulation of alpha-beta T cell differentiation           5      82     15.3  2.5e-05    8.5e-05
GO:0055013   cardiac muscle cell development                           5      82     15.3  2.5e-05    8.5e-05
GO:0014002   astrocyte development                                     4      39     25.8  2.5e-05    8.6e-05
GO:0036119   response to platelet-derived growth factor                4      39     25.8  2.5e-05    8.6e-05
GO:0048679   regulation of axon regeneration                           4      39     25.8  2.5e-05    8.6e-05
GO:0071549   cellular response to dexamethasone stimulus               4      39     25.8  2.5e-05    8.6e-05
GO:1902105   regulation of leukocyte differentiation                   9     381      5.9  2.6e-05    8.6e-05
GO:0001952   regulation of cell-matrix adhesion                        6     140     10.8  2.6e-05    8.7e-05
GO:0034116   positive regulation of heterotypic cell-cell adhesion     3      12     62.9  2.7e-05    8.9e-05
GO:0051798   positive regulation of hair follicle development          3      12     62.9  2.7e-05    8.9e-05
GO:0060439   trachea morphogenesis                                     3      12     62.9  2.7e-05    8.9e-05
GO:0060525   prostate glandular acinus development                     3      12     62.9  2.7e-05    8.9e-05
GO:0090031   positive regulation of steroid hormone biosynthetic pr    3      12     62.9  2.7e-05    8.9e-05
GO:1905208   negative regulation of cardiocyte differentiation         3      12     62.9  2.7e-05    8.9e-05
GO:0010837   regulation of keratinocyte proliferation                  4      40     25.2  2.8e-05    9.3e-05
GO:0030513   positive regulation of BMP signaling pathway              4      40     25.2  2.8e-05    9.3e-05
GO:0099174   regulation of presynapse organization                     4      40     25.2  2.8e-05    9.3e-05
GO:0007565   female pregnancy                                          7     214      8.2  2.9e-05    9.7e-05
GO:1904377   positive regulation of protein localization to cell pe    5      85     14.8  3.0e-05    9.9e-05
GO:2000379   positive regulation of reactive oxygen species metabol    5      85     14.8  3.0e-05    9.9e-05
GO:0002724   regulation of T cell cytokine production                  4      41     24.5  3.1e-05    1.0e-04
GO:0031076   embryonic camera-type eye development                     4      41     24.5  3.1e-05    1.0e-04
GO:0045746   negative regulation of Notch signaling pathway            4      41     24.5  3.1e-05    1.0e-04
GO:0060325   face morphogenesis                                        4      41     24.5  3.1e-05    1.0e-04
GO:0097192   extrinsic apoptotic signaling pathway in absence of li    4      41     24.5  3.1e-05    1.0e-04
GO:0006959   humoral immune response                                   8     299      6.7  3.1e-05    1.0e-04
GO:0033273   response to vitamin                                       5      86     14.6  3.1e-05    1.0e-04
GO:0003157   endocardium development                                   3      13     58.1  3.3e-05    1.1e-04
GO:0038026   reelin-mediated signaling pathway                         3      13     58.1  3.3e-05    1.1e-04
GO:0042693   muscle cell fate commitment                               3      13     58.1  3.3e-05    1.1e-04
GO:0048340   paraxial mesoderm morphogenesis                           3      13     58.1  3.3e-05    1.1e-04
GO:0061430   bone trabecula morphogenesis                              3      13     58.1  3.3e-05    1.1e-04
GO:0072124   regulation of glomerular mesangial cell proliferation     3      13     58.1  3.3e-05    1.1e-04
GO:0010817   regulation of hormone levels                             12     718      4.2  3.3e-05    1.1e-04
GO:0042110   T cell activation                                         9     394      5.7  3.3e-05    1.1e-04
GO:0033627   cell adhesion mediated by integrin                        4      42     24.0  3.3e-05    1.1e-04
GO:0009607   response to biotic stimulus                              19    1671      2.9  3.4e-05    1.1e-04
GO:0051345   positive regulation of hydrolase activity                 6     147     10.3  3.4e-05    1.1e-04
GO:0098771   inorganic ion homeostasis                                10     497      5.1  3.4e-05    1.1e-04
GO:0042306   regulation of protein import into nucleus                 5      88     14.3  3.5e-05    1.1e-04
GO:0048259   regulation of receptor-mediated endocytosis               6     148     10.2  3.5e-05    1.1e-04
GO:0080135   regulation of cellular response to stress                11     608      4.6  3.6e-05    1.2e-04
GO:0038034   signal transduction in absence of ligand                  4      43     23.4  3.6e-05    1.2e-04
GO:0050951   sensory perception of temperature stimulus                4      43     23.4  3.6e-05    1.2e-04
GO:0070371   ERK1 and ERK2 cascade                                     4      43     23.4  3.6e-05    1.2e-04
GO:0032722   positive regulation of chemokine production               5      89     14.1  3.7e-05    1.2e-04
GO:0045744   negative regulation of G protein-coupled receptor sign    5      89     14.1  3.7e-05    1.2e-04
GO:0010811   positive regulation of cell-substrate adhesion            6     151     10.0  3.9e-05    1.3e-04
GO:0021903   rostrocaudal neural tube patterning                       3      14     53.9  3.9e-05    1.3e-04
GO:0021979   hypothalamus cell differentiation                         3      14     53.9  3.9e-05    1.3e-04
GO:0021984   adenohypophysis development                               3      14     53.9  3.9e-05    1.3e-04
GO:0042487   regulation of odontogenesis of dentin-containing tooth    3      14     53.9  3.9e-05    1.3e-04
GO:0060736   prostate gland growth                                     3      14     53.9  3.9e-05    1.3e-04
GO:0070486   leukocyte aggregation                                     3      14     53.9  3.9e-05    1.3e-04
GO:0070986   left/right axis specification                             3      14     53.9  3.9e-05    1.3e-04
GO:0072178   nephric duct morphogenesis                                3      14     53.9  3.9e-05    1.3e-04
GO:1900748   positive regulation of vascular endothelial growth fac    3      14     53.9  3.9e-05    1.3e-04
GO:2000489   regulation of hepatic stellate cell activation            3      14     53.9  3.9e-05    1.3e-04
GO:1904646   cellular response to amyloid-beta                         4      44     22.9  4.0e-05    1.3e-04
GO:0048709   oligodendrocyte differentiation                           5      91     13.8  4.1e-05    1.3e-04
GO:1903532   positive regulation of secretion by cell                  9     405      5.6  4.1e-05    1.3e-04
GO:0045930   negative regulation of mitotic cell cycle                 7     227      7.8  4.2e-05    1.3e-04
GO:0048469   cell maturation                                           7     227      7.8  4.2e-05    1.3e-04
GO:0051302   regulation of cell division                               6     153      9.9  4.2e-05    1.3e-04
GO:0030195   negative regulation of blood coagulation                  4      45     22.4  4.3e-05    1.4e-04
GO:0051154   negative regulation of striated muscle cell differenti    4      45     22.4  4.3e-05    1.4e-04
GO:2000008   regulation of protein localization to cell surface        4      45     22.4  4.3e-05    1.4e-04
GO:0051179   localization                                             36    4712      1.9  4.6e-05    1.5e-04
GO:0009582   detection of abiotic stimulus                             6     156      9.7  4.6e-05    1.5e-04
GO:0030010   establishment of cell polarity                            6     156      9.7  4.6e-05    1.5e-04
GO:0042552   myelination                                               6     156      9.7  4.6e-05    1.5e-04
GO:0099170   postsynaptic modulation of chemical synaptic transmiss    4      46     21.9  4.7e-05    1.5e-04
GO:1900047   negative regulation of hemostasis                         4      46     21.9  4.7e-05    1.5e-04
GO:0033690   positive regulation of osteoblast proliferation           3      15     50.3  4.7e-05    1.5e-04
GO:0051964   negative regulation of synapse assembly                   3      15     50.3  4.7e-05    1.5e-04
GO:0061098   positive regulation of protein tyrosine kinase activit    3      15     50.3  4.7e-05    1.5e-04
GO:0070234   positive regulation of T cell apoptotic process           3      15     50.3  4.7e-05    1.5e-04
GO:0071599   otic vesicle development                                  3      15     50.3  4.7e-05    1.5e-04
GO:0072498   embryonic skeletal joint development                      3      15     50.3  4.7e-05    1.5e-04
GO:1901201   regulation of extracellular matrix assembly               3      15     50.3  4.7e-05    1.5e-04
GO:1903377   negative regulation of oxidative stress-induced neuron    3      15     50.3  4.7e-05    1.5e-04
GO:1905668   positive regulation of protein localization to endosom    3      15     50.3  4.7e-05    1.5e-04
GO:1990314   cellular response to insulin-like growth factor stimul    3      15     50.3  4.7e-05    1.5e-04
GO:0009581   detection of external stimulus                            6     157      9.6  4.8e-05    1.5e-04
GO:0002691   regulation of cellular extravasation                      4      47     21.4  5.0e-05    1.6e-04
GO:0043506   regulation of JUN kinase activity                         4      47     21.4  5.0e-05    1.6e-04
GO:0060428   lung epithelium development                               4      47     21.4  5.0e-05    1.6e-04
GO:0007272   ensheathment of neurons                                   6     159      9.5  5.1e-05    1.6e-04
GO:0008366   axon ensheathment                                         6     159      9.5  5.1e-05    1.6e-04
GO:0007229   integrin-mediated signaling pathway                       5      96     13.1  5.2e-05    1.6e-04
GO:0050866   negative regulation of cell activation                    7     236      7.5  5.3e-05    1.7e-04
GO:0010893   positive regulation of steroid biosynthetic process       4      48     21.0  5.4e-05    1.7e-04
GO:0050819   negative regulation of coagulation                        4      48     21.0  5.4e-05    1.7e-04
GO:0010827   regulation of D-glucose transmembrane transport           5      97     13.0  5.4e-05    1.7e-04
GO:0003159   morphogenesis of an endothelium                           3      16     47.2  5.6e-05    1.7e-04
GO:0010544   negative regulation of platelet activation                3      16     47.2  5.6e-05    1.7e-04
GO:0021978   telencephalon regionalization                             3      16     47.2  5.6e-05    1.7e-04
GO:0048680   positive regulation of axon regeneration                  3      16     47.2  5.6e-05    1.7e-04
GO:0060947   cardiac vascular smooth muscle cell differentiation       3      16     47.2  5.6e-05    1.7e-04
GO:0061154   endothelial tube morphogenesis                            3      16     47.2  5.6e-05    1.7e-04
GO:0072044   collecting duct development                               3      16     47.2  5.6e-05    1.7e-04
GO:1900449   regulation of glutamate receptor signaling pathway        3      16     47.2  5.6e-05    1.7e-04
GO:1905666   regulation of protein localization to endosome            3      16     47.2  5.6e-05    1.7e-04
GO:2000343   positive regulation of chemokine (C-X-C motif) ligand     3      16     47.2  5.6e-05    1.7e-04
GO:0050806   positive regulation of synaptic transmission              8     326      6.2  5.7e-05    1.8e-04
GO:0033628   regulation of cell adhesion mediated by integrin          4      49     20.5  5.9e-05    1.8e-04
GO:0045740   positive regulation of DNA replication                    4      49     20.5  5.9e-05    1.8e-04
GO:0071333   cellular response to glucose stimulus                     5      99     12.7  6.0e-05    1.9e-04
GO:0031214   biomineral tissue development                             5     100     12.6  6.3e-05    1.9e-04
GO:0055002   striated muscle cell development                          6     165      9.1  6.3e-05    2.0e-04
GO:0002703   regulation of leukocyte mediated immunity                 8     331      6.1  6.3e-05    2.0e-04
GO:0031018   endocrine pancreas development                            4      50     20.1  6.3e-05    2.0e-04
GO:1904645   response to amyloid-beta                                  4      50     20.1  6.3e-05    2.0e-04
GO:2000377   regulation of reactive oxygen species metabolic proces    6     166      9.1  6.5e-05    2.0e-04
GO:0044703   multi-organism reproductive process                       7     244      7.2  6.5e-05    2.0e-04
GO:0002090   regulation of receptor internalization                    5     101     12.5  6.5e-05    2.0e-04
GO:0010935   regulation of macrophage cytokine production              3      17     44.4  6.6e-05    2.0e-04
GO:0046886   positive regulation of hormone biosynthetic process       3      17     44.4  6.6e-05    2.0e-04
GO:0048711   positive regulation of astrocyte differentiation          3      17     44.4  6.6e-05    2.0e-04
GO:0060973   cell migration involved in heart development              3      17     44.4  6.6e-05    2.0e-04
GO:0070243   regulation of thymocyte apoptotic process                 3      17     44.4  6.6e-05    2.0e-04
GO:0003382   epithelial cell morphogenesis                             4      51     19.7  6.8e-05    2.1e-04
GO:0061900   glial cell activation                                     4      51     19.7  6.8e-05    2.1e-04
GO:0071331   cellular response to hexose stimulus                      5     102     12.3  6.8e-05    2.1e-04
GO:0019538   protein metabolic process                                30    3650      2.1  6.8e-05    2.1e-04
GO:0071326   cellular response to monosaccharide stimulus              5     104     12.1  7.5e-05    2.3e-04
GO:0050708   regulation of protein secretion                           8     340      5.9  7.5e-05    2.3e-04
GO:0002827   positive regulation of T-helper 1 type immune response    3      18     41.9  7.6e-05    2.3e-04
GO:0010092   specification of animal organ identity                    3      18     41.9  7.6e-05    2.3e-04
GO:0010800   positive regulation of peptidyl-threonine phosphorylat    3      18     41.9  7.6e-05    2.3e-04
GO:0045605   negative regulation of epidermal cell differentiation     3      18     41.9  7.6e-05    2.3e-04
GO:0045683   negative regulation of epidermis development              3      18     41.9  7.6e-05    2.3e-04
GO:0060561   apoptotic process involved in morphogenesis               3      18     41.9  7.6e-05    2.3e-04
GO:0060914   heart formation                                           3      18     41.9  7.6e-05    2.3e-04
GO:0071372   cellular response to follicle-stimulating hormone stim    3      18     41.9  7.6e-05    2.3e-04
GO:0072176   nephric duct development                                  3      18     41.9  7.6e-05    2.3e-04
GO:0097094   craniofacial suture morphogenesis                         3      18     41.9  7.6e-05    2.3e-04
GO:0055082   intracellular chemical homeostasis                       11     663      4.2  7.6e-05    2.3e-04
GO:0050877   nervous system process                                   24    2600      2.3  7.7e-05    2.4e-04
GO:0034762   regulation of transmembrane transport                    10     551      4.6  8.0e-05    2.4e-04
